0.0,-1.0,-3.0,0.1
0.033,-0.994,-2.995,0.129
0.067,-0.987,-2.99,0.158
0.1,-0.98,-2.984,0.188
0.133,-0.972,-2.978,0.219
0.167,-0.963,-2.972,0.25
0.2,-0.954,-2.964,0.283
0.233,-0.944,-2.957,0.316
0.267,-0.934,-2.949,0.349
0.3,-0.922,-2.94,0.384
0.333,-0.91,-2.931,0.419
0.367,-0.897,-2.921,0.455
0.4,-0.884,-2.911,0.491
0.433,-0.869,-2.901,0.529
0.467,-0.854,-2.89,0.566
0.5,-0.839,-2.878,0.604
0.533,-0.822,-2.866,0.643
0.567,-0.805,-2.854,0.682
0.6,-0.787,-2.841,0.722
0.633,-0.768,-2.828,0.761
0.667,-0.748,-2.815,0.801
0.7,-0.728,-2.801,0.841
0.733,-0.707,-2.787,0.881
0.767,-0.685,-2.773,0.921
0.8,-0.663,-2.758,0.961
0.833,-0.64,-2.744,1.0
0.866,-0.651,-2.756,1.0
0.9,-0.629,-2.739,1.0
0.933,-0.607,-2.724,1.0
0.966,-0.587,-2.709,1.0
1.0,-0.569,-2.695,1.0
1.033,-0.552,-2.681,1.0
1.066,-0.536,-2.668,1.0
1.1,-0.521,-2.656,1.0
1.133,-0.506,-2.644,1.0
1.166,-0.492,-2.632,1.0
1.2,-0.479,-2.62,1.0
1.233,-0.465,-2.607,1.0
1.266,-0.45,-2.595,1.0
1.3,-0.435,-2.581,1.0
1.333,-0.418,-2.567,1.0
1.366,-0.4,-2.552,1.0
1.4,-0.381,-2.536,1.0
1.433,-0.36,-2.518,1.0
1.466,-0.337,-2.5,1.0
1.5,-0.313,-2.481,1.0
1.533,-0.286,-2.46,1.0
1.566,-0.257,-2.438,1.0
1.6,-0.226,-2.416,1.0
1.633,-0.193,-2.392,1.0
1.666,-0.159,-2.367,1.0
1.7,-0.122,-2.342,1.0
1.733,-0.083,-2.316,1.0
1.766,-0.043,-2.289,1.0
1.8,-0.002,-2.262,1.0
1.833,0.041,-2.235,1.0
1.866,0.085,-2.207,1.0
1.9,0.13,-2.18,1.0
1.933,0.175,-2.152,1.0
1.966,0.221,-2.125,1.0
2.0,0.268,-2.098,1.0
2.033,0.314,-2.071,1.0
2.066,0.361,-2.045,1.0
2.1,0.407,-2.019,1.0
2.133,0.454,-1.993,1.0
2.166,0.499,-1.969,1.0
